name,reviews
Rosa Smith,"I needed help and had been only accepted for an amount less than I needed, so I tried Money Lion and was approved for more than the other apps offered and have been using it since. All Thanks to Money Lion and their investors"
Jean Martinez,The app is very easy to use & they offer pretty descent instacash amounts
Vincenzo Lentini,The product is fabulous    The customer service non-existent.  I am trying to make a payment but as usual the app is not functioning correctlyI go to the page contact usIt says click here to chat ( no chat window opens)Call 8887046970   you do not have any option to speak with a human    5 star product 0 star serviceI did get a response from Money Lion but I don't accept it. The question is why is there not any way one can reach a live person  Why is there live chat that does not work?  Again great product zero service
Joe Fry,Moneylion is a great app.  I deposit my whole payroll check into it and the people that run the app are helpful in every way
charles,"I have been a money lion customer for over 10 years, and they continue to  contribute to my financial health."
Todd Anderson,I had made a clerical mistake and they were very helpful in getting my account back in the good. All done very fast and efficiently!!
Jason Brave Rifles,Great app. Great service. Highly recommend it to family and friends in need
SJB,Money Lion is easily accessible whether you are getting a loan investing etc.. no matter what your credit they try to help and even help build your credit.
Michael Byrd,I love it!!! A great set up and interface to interact with looking forward to exploring more options and opportunities soon as I make them available.. Direct deposit next!!
Michael Douglas The Advocate,Best banking app ever…by far. Thinking of switching my business accounts from a major chain. I would recommend MoneyLion to anyone in any walk of life. Must have.
Miguel,I received money in seconds straight to my debit card when I needed it the most!! For me it is perfect and excellent service!!
Kittie King,I love Money Lion! Don’t like the asking for tips along with also expensive fees associated with withdrawals/loans but i absolutely  love the prompt customer service and that i can pay it back before the due date. Thank you Money Lion!
Valarie Danielle,"I had one bad experience on this app,other than that i can say i really like this app highly recommend"
Stephanie Le Baron,I los e the fact I can payback and borrow at my leisure
Mario,App is ahead of its time. Very user friendly.
Michael Perkins,Money Lion has everything thing you need for taking care of your finances and more
Debra Donnelly,I always use Instacash. This month I am a tight on money because of moving. Moneylion deferred my payment with no problem. I always find talking to a lender is better than avoiding one! Thanks and good looking out!
G. C,"This app is great!! I've had zero issues, and it has been very beneficial to me financially..."
Pales Taamu,Moneylion comes through in those clutch moments and is a valuable asset in credit monitoring and investing I have used this app since 2019 and have had nothing but a great experience
Sarah Graves,This app is easier than ever to operate !! It’s simple and it gives you exactly what you want ! The only thing I can’t find is where it tells you you’re pending charges! But from me 10/10 🌟
SM,Have enjoyed using the app. Customer service is always available when you need them and all questions get answered.
Christina Tarpley,Helped me when I need cash fast highly recommend they are there for you not against you.
Thomas Kielbasinski,Moneylion is a ripoff! I took a credit builder plus loan and paid back! Now there saying there is a fraud alert on my credit reports which there is not! You also took my membership payment out of the wrong account.
Chris Camacho,Awesome service.....there when you need them
Rheena Waites,Good app to use for quick cash.  Haven't had any problem using the app.  So far have been getting good advances around $200.
Marloe Robinson,I would have given four stars but I haven't gotten my money released from a hold placed on it for getting gas and it's been over 7 days!
James Willis,If you mess up your Verification. You WILL NOT BE ABLE TO DO IT OVER. Meaning that Instacash they talk so highly about … YOU CANT EVEN GET IT. but you will see money there like you can smh..
C W,"Best of the new web based financial applications. I've tried a bunch and money lion, has all the best features of similar apps plus additional options that push the money lion ahead of the pack."
Lee Cook,You guys stole my money for no reason. Won’t give me the over 3000 dollars from my DIRECT DEPOSIT PAYCHECK and let me with nothing to feed my kids. YOU’RE WORSE THAN THIEVES.
michael santa maria,"Fast and easy cash for groceries, gas, super helpful."
Taylor Guzman,Money lion is like frosted flakes... they're great..... lol. Thanks for having my bk guys
Jen Davis,"This is nice, reliable.trustwothy"
Nicholas Thompson,Great app!Super easy to use. Need to increase the dollar amount when you request an advance.
Popson popson,The customer service rep was very friendly and informative and was able to walk me through so that I can get an understanding of my account
Efren Abarca,I got in a bind and needed money 💲 now I'm building credit and getting money as I need it great app
MD,It’s a awesome bank account that help you in all types of ways. When you short on cash MoneyLion have instacash to get you over the hump.
Angela Morris,I have had nothing but a great experience with the app
Joseph Williams SR,Money lion is the best money management app around. If you're thinking about using it. Do it!
kelley hauser,MoneyLion has been a great help in keeping me and my family afloat when I most need it to. It is completely legit
Bailey Crawford,"Great app to help build credit, get some money if your in a pinch, as well as review all your financial expenditures."
India Vargas,Have had good experience working with them.
Dustin Shollenberger,This app is DEFINITELY worth it. It comes in handy when you need it. Moneylion is the best to do it.
Dmarqus Lewis,Wonderful source money when you needed. Plus Money Lion offer tips on building credit and investing highly recommended
Cece Babiiface,I've been with Moneylion over a year. Huge help!
DJ da Savage,Kinda. Wish. That. I. Get. Paid. Right. On. Time. Tho. Like at. 10am. Or. So. Would. B. Nice.
Tasha Lewis,Easy and loan ready .money roar account setup was quick.. everything was explained perfectly
Rich Randal,The last call that person was most helpful the two calls prior to that not so good
Zach Kronquist,"Money lion comes through for me everytime I need help, my only concern is my rate goes up and down, which is disappointing."
India Eppinger,"I look forward to paying them back and not using them. I’m currently going through an issue where they are changing the amount I can pull out, in the middle of my pay period. I simply paid a small fraction back to have access to it later as I usually do, but now I’m being told I have no access to anything I repaid early until I repay the entire amount. This has never been like this in all the years I’ve used it. Than it took me 30 minutes to get someone on the phone.…..2 weeks later. I recently left a review in which the company responded. This was due to the fact that in the middle of a pay period they would not let me pull out instacash after I repaid. They do have expensive withdrawal fees and use weird marketing tactics to get you to give more by tipping. Granted I only repaid the fraction, that fraction is generally available after repaying it. I do it often if I want to pay it off early and in baby steps . Two weeks later, we are two days out from my payday and %20 of my check always goes into this account. Suddenly today, the company is saying my bank did not release funds. Yes my check is pending or released in any other account"
Anthony Clark,It seems to okay except adding a tip at every screen. If that wasn’t so rude ild leave one. Also my debit card doesn’t work for no reason at all.
Marc Robinson,Great app..it has helpme in tuff spots.highly recommend
